timestamp,path,name,download (in secs),MB,min,url
20200804 13:56:06,/home/biadmin/Music/20200801_djfc.mp3,djfc,9,53,59,https://media.deejay.it/2020/08/01/episodes/deejay_football_club/20200801.mp3
20200826 15:59:15,D:\musica\reloaded\20170904_epcc.mp3,epcc,60,45,50,https://media.deejay.it/legacy/audio/catteland/20170904.mp3
20200826 15:59:54,D:\musica\reloaded\20170905_epcc.mp3,epcc,36,44,49,https://media.deejay.it/legacy/audio/catteland/20170905.mp3
20200826 16:00:45,D:\musica\reloaded\20170906_epcc.mp3,epcc,48,42,46,https://media.deejay.it/legacy/audio/catteland/20170906.mp3
20200826 16:02:10,D:\musica\reloaded\20170907_epcc.mp3,epcc,82,41,45,https://media.deejay.it/legacy/audio/catteland/20170907.mp3
20200826 16:03:13,D:\musica\reloaded\20170908_epcc.mp3,epcc,60,41,45,https://media.deejay.it/legacy/audio/catteland/20170908.mp3
20200826 16:04:31,D:\musica\reloaded\20170911_epcc.mp3,epcc,73,43,47,https://media.deejay.it/legacy/audio/catteland/20170911.mp3
20200826 16:05:14,D:\musica\reloaded\20170912_epcc.mp3,epcc,40,41,44,https://media.deejay.it/legacy/audio/catteland/20170912.mp3
20200826 16:05:45,D:\musica\reloaded\20170913_epcc.mp3,epcc,29,41,44,https://media.deejay.it/legacy/audio/catteland/20170913.mp3
20200826 16:06:29,D:\musica\reloaded\20170914_epcc.mp3,epcc,40,45,50,https://media.deejay.it/legacy/audio/catteland/20170914.mp3
20200826 16:07:10,D:\musica\reloaded\20170915_epcc.mp3,epcc,38,41,45,https://media.deejay.it/legacy/audio/catteland/20170915.mp3
20200826 16:08:09,D:\musica\reloaded\20170918_epcc.mp3,epcc,53,46,50,https://media.deejay.it/legacy/audio/catteland/20170918.mp3
20200826 16:09:30,D:\musica\reloaded\20170919_epcc.mp3,epcc,77,44,48,https://media.deejay.it/legacy/audio/catteland/20170919.mp3
20200826 16:10:41,D:\musica\reloaded\20170920_epcc.mp3,epcc,67,41,45,https://media.deejay.it/legacy/audio/catteland/20170920.mp3
20200826 16:12:03,D:\musica\reloaded\20170921_epcc.mp3,epcc,77,40,44,https://media.deejay.it/legacy/audio/catteland/20170921.mp3
20200826 16:13:09,D:\musica\reloaded\20170922_epcc.mp3,epcc,62,40,44,https://media.deejay.it/legacy/audio/catteland/20170922.mp3
20200826 16:14:43,D:\musica\reloaded\20170926_epcc.mp3,epcc,88,47,51,https://media.deejay.it/legacy/audio/catteland/20170926.mp3
20200826 16:16:03,D:\musica\reloaded\20170927_epcc.mp3,epcc,74,41,45,https://media.deejay.it/legacy/audio/catteland/20170927.mp3
20200826 16:17:33,D:\musica\reloaded\20170928_epcc.mp3,epcc,87,43,47,https://media.deejay.it/legacy/audio/catteland/20170928.mp3
20200826 16:18:56,D:\musica\reloaded\20170929_epcc.mp3,epcc,79,41,45,https://media.deejay.it/legacy/audio/catteland/20170929.mp3
20200826 16:19:43,D:\musica\reloaded\20171002_epcc.mp3,epcc,43,42,46,https://media.deejay.it/legacy/audio/catteland/20171002.mp3
20200826 16:20:50,D:\musica\reloaded\20171003_epcc.mp3,epcc,64,43,47,https://media.deejay.it/legacy/audio/catteland/20171003.mp3
20200826 16:21:37,D:\musica\reloaded\20171004_epcc.mp3,epcc,44,40,44,https://media.deejay.it/legacy/audio/catteland/20171004.mp3
20200826 16:22:29,D:\musica\reloaded\20171005_epcc.mp3,epcc,49,41,45,https://media.deejay.it/legacy/audio/catteland/20171005.mp3
20200826 16:23:08,D:\musica\reloaded\20171006_epcc.mp3,epcc,36,39,43,https://media.deejay.it/legacy/audio/catteland/20171006.mp3
20200826 16:24:22,D:\musica\reloaded\20171009_epcc.mp3,epcc,70,43,47,https://media.deejay.it/legacy/audio/catteland/20171009.mp3
